version	name	file	phase	risk	sha256	history_mode
1	platform	000001_platform.sql	expand	medium	923a35e6490908ed1a7ddb48d44f241ec480febaa01bc119cf6addd8fce54aac	bootstrap
2	tenancy	000002_tenancy.sql	expand	high	56ab7dd3ff1a8eedcf4f7038ed0841ceb7d52563bb5f56656064061837cea24e	bootstrap
3	migration_framework	000003_migration_framework.sql	expand	medium	a055d1fce3a198ad00435a96063d51674634a55c00d252a5172d30c5f7c1c7b1	bootstrap
4	security_eventing	000004_security_eventing.sql	expand	high	b03963f22ab41740f5d204c34b57fc16cac3c36ac9bd8ade403541721d048867	atomic
5	commerce_core	000005_commerce_core.sql	expand	high	43887e4d7b78afe80337d969432baca6c948fb67a0adeb9954f7c6393a3c801e	atomic
6	operations_foundation	000006_operations_foundation.sql	expand	high	b6f6775a1e5fd8ea3d578c79c3f5f711929caae37abaa745162138fbe3aba355	atomic
7	commerce_extensions	000007_commerce_extensions.sql	expand	high	9ac95ebecd73e8f256c9bbf5590b87b634cf12df48dfb9527d33c7a14e1b8945	atomic
8	regulated_integrations	000008_regulated_integrations.sql	expand	high	dd8e366e13882a98680bd9db724e729d55140d9777da4cc0c91084a5a88e81d0	atomic
9	control_plane	000009_control_plane.sql	expand	high	151e1f68179539d93e1c68ec66fa642592c1f547b82d56ef4009cc6454a9393d	atomic
10	legacy_contract	000010_legacy_contract.sql	contract	high	fdc093ddd22321202c0b30913b40d82c626100be6672b330326a7e399821c5fb	atomic
11	runtime_operations	000011_runtime_operations.sql	expand	high	e7a3b366ae642ac7f1895f8034b5aa02181822610011753c5c2d323205d2cebf	atomic
12	ai_advisory	000012_ai_advisory.sql	expand	medium	1600d7641b951e26ad797b4231dc8b6f105ed9dd1db2707ba2ba7f6c911a818d	atomic
13	ai_provider_credential_class	000013_ai_provider_credential_class.sql	expand	low	1e3b5fa994d5c4f56676e132548abfbd1971a490b79e44452f29b1bf62277a4b	atomic
14	mcp_client_accounts	000014_mcp_client_accounts.sql	expand	medium	ef98de3aa3e4bee96df50c4cf3365d568d98e66ff60baec40db55bb22e2946bd	atomic
15	ai_provider_qwen_deepseek	000015_ai_provider_qwen_deepseek.sql	expand	low	3e3ef82b481eb027103bbe999db9a53a0bb4f2a01bf186a283f5fac2186766c7	atomic
16	trust_control_plane	000016_trust_control_plane.sql	expand	high	61ca8edfca7cdf7f16c239135b944cc2f026654a6f9b9fc92e8d7af0cf57f153	atomic
17	social_publication_runtime	000017_social_publication_runtime.sql	expand	high	9902b7c5f3fbe83a3c938b5b7de543ff7be52efc165b233ea49149702b906415	atomic
18	payments_core	000018_payments_core.sql	expand	high	e134aecb6552030ea56afd30bd67a38686bfd154bba2eceb950761a93e1dec1c	atomic
19	payments_remote_id_lookup	000019_payments_remote_id_lookup.sql	expand	low	dd8dd97edf2c5c962ea7a42610514a3868f7727e8afae36b655c139c604c1805	atomic
20	ai_provider_claude	000020_ai_provider_claude.sql	expand	low	7d1fe7764f8dd7247a76d9e4338ec676bbdcc49247c7d6b0c3e8515be7adf218	atomic
21	ai_provider_local_runtime	000021_ai_provider_local_runtime.sql	expand	low	3aadf8cc27e278ba0ffed782601d61986e1bed6e72d182724c92da7f7b9371f7	atomic
22	ai_provider_gemini_grok	000022_ai_provider_gemini_grok.sql	expand	low	45da4146d803a61db2938af55e5b4a1600377cd9621f2be3bc776512542b4ef5	atomic
23	offline_demo_product_images	000023_offline_demo_product_images.sql	expand	low	c4b1e1a7a91752a95d14f26713976bef4d9204fa1f02e1da8b1f51dd45b5e249	atomic
24	user_profiles	000024_user_profiles.sql	expand	high	6ff212a560a4983530488dda82d52f90618fcbb1a511a607633f4a343ea6c86d	atomic
25	upload_security_pg18_compat	000025_upload_security_pg18_compat.sql	expand	high	629ec56b90d4a38b97b9f26be85ef656365df5f04eb37dfcadee393bef5f1d85	atomic
26	audit_realtime_lookup_index	000026_audit_realtime_lookup_index.sql	expand	low	42a5623ec462660676ef6729f9edce7e5c511756d86b260e3996401ee1f7b491	atomic
27	workflow_automation	000027_workflow_automation.sql	expand	high	1f37b7ef00dc4f60339f61214b11dfb9d333c9a58b24b1f1f2d1b3b702a8aef4	atomic
28	payment_reconciliation_worker	000028_payment_reconciliation_worker.sql	expand	medium	b1fc38aac11aa4440e9740a3a7b6e3ff472e8f16d5133d3d408aa396dc20f365	atomic
29	returns_cancellations_refunds	000029_returns_cancellations_refunds.sql	expand	high	3cc4aeea24a0fcd94aec0f2abb3374e583ade01b6ec3c333d80dc8883377b301	atomic
30	wms_operator_tasks	000030_wms_operator_tasks.sql	expand	high	a0e2a2149c7341028e75fa0b2dec5ab032031fa23a2ee1c036b69e2a8d99c407	atomic
31	wms_task_batches	000031_wms_task_batches.sql	expand	high	18ca6b0a8279b8de87a2ca04ed3a41f49a6dcb5f7e9ef493d5d0bda597b9407e	atomic
32	replenishment_forecast_planning	000032_replenishment_forecast_planning.sql	expand	high	d11bfa8a05ac3be651dc743a98e03befdb1a6bbdbd7c8eb1e48dd3dfa4637127	atomic
33	product_publication_quality	000033_product_publication_quality.sql	expand	high	8f586e40aad503e946be13a6c25965730a4712044beba2c4c7ef615360e47ebf	atomic
34	channel_unit_economics	000034_channel_unit_economics.sql	expand	high	53159042fa0cf2cfe191d31407b5caf7e1560efc837ae8b0a490e3b8288699d4	atomic
35	integration_state_center	000035_integration_state_center.sql	expand	high	3899449c0a12defc82ca7b0ebca9803a20aed7dba5f35b9acd4e294a0e7a6c87	atomic
36	logistics_shipment_payload_reference	000036_logistics_shipment_payload_reference.sql	expand	high	014a6bbcfdc2a341b063aea0ea5213d2bd4a73a9307c392af3d9f9b2f1f8b252	atomic
37	marking_execution	000037_marking_execution.sql	expand	high	8a0caf450256c55be52abf84e368d422d069b5100c3b2df6975d1d7f6e06705b	atomic
38	ai_operator_assistant	000038_ai_operator_assistant.sql	expand	high	7ed2a3da8e881898706bb89cbb88f097827d7b3a8ae1304080f58dd6c43bf7ac	atomic
39	logistics_webhook_evidence	000039_logistics_webhook_evidence.sql	expand	high	3e788b13e856f7d57d81df6d72decd43642f975c7fe1f3469b1b9a2626ec904a	atomic
40	return_logistics_operations	000040_return_logistics_operations.sql	expand	high	bdcd1ceb0b84fd607dade69adc68af42860ad0f33acb60ec654b399637e65b9a	atomic
41	return_logistics_tariff_code	000041_return_logistics_tariff_code.sql	expand	high	f2264f72a41dc5d5eabaf43757d9c73ecdb3b7eabd8bf7a514641ee84a5a732c	atomic
42	social_publication_buttons	000042_social_publication_buttons.sql	expand	high	c092d3549d9504e8ab10b7aeb47928d815b45695eb71e44d9cd61c7533d5e6c4	atomic
43	operator_assistant_runtime	000043_operator_assistant_runtime.sql	expand	high	45b177e81bfe51b38b408a7a63bafd5c455ee9abbf2ac428e5b935ef2e424584	atomic
44	marketplace_product_publication	000044_marketplace_product_publication.sql	expand	high	78804b419ddfeec13af06e7cfb7ce70f0a2375ef39981cdca5d4a746da9fe092	atomic
45	supplier_procurement_operations	000045_supplier_procurement_operations.sql	expand	high	6c87140c6a935ec8b838521dc4ad1fab07fb4ac807ec4d42d7e48538770f3d4c	atomic
46	seller_financial_analytics	000046_seller_financial_analytics.sql	expand	high	d05b3587727cdec446a1002054d8283ff63f77e8076a11ad2fe8320cbfa9e0b7	atomic
47	marketplace_advertising_runtime	000047_marketplace_advertising_runtime.sql	expand	high	a7c65749d7d14c9e729a2a13170cb9b94509d84ddaf63bd6f6175325294846c5	atomic
48	marketplace_operations_runtime	000048_marketplace_operations_runtime.sql	expand	high	a93935f393ecb62a346bdc9971ec1e2cacd53f2b9ccc617cdcb37ba8619f1419	atomic
49	marketplace_operations_findings	000049_marketplace_operations_findings.sql	expand	high	42be8982050ac2ffb1d53660c64a0fc23b259ae03d3f630d82fe850fece0a42d	atomic
50	replenishment_runtime	000050_replenishment_runtime.sql	expand	high	7527481bf29a630a26cf907e7173eadad4d63e1c96b11e05d1020366af6a3be0	atomic
51	marketplace_order_fulfillment	000051_marketplace_order_fulfillment.sql	expand	high	f435775444be35020ee40425b1a8eebb89237b11b592bbd47452963592629790	atomic
52	marketplace_listing_workspace	000052_marketplace_listing_workspace.sql	expand	high	665521cfe3bc231ba055235c54921aa4aa99fa4aba5e1f3a3cefd11dace52705	atomic
